sample_id,cluster_label
0,4
1,0
2,0
3,1
4,3
5,3
6,1
7,1
8,1
9,4
10,3
11,2
12,4
13,3
14,4
15,2
16,1
17,2
18,2
19,0
20,2
21,3
22,1
23,0
24,1
25,0
26,1
27,4
28,2
29,2
30,2
31,4
32,3
33,4
34,4
35,2
36,0
37,4
38,0
39,1
40,3
41,0
42,4
43,3
44,3
45,3
46,2
47,2
48,0
49,1
50,4
51,1
52,0
53,0
54,1
55,2
56,3
57,2
58,1
59,4
60,4
61,1
62,2
63,3
64,1
65,3
66,2
67,0
68,4
69,2
70,1
71,4
72,0
73,4
74,3
75,2
76,2
77,0
78,1
79,4
80,3
81,1
82,1
83,3
84,2
85,1
86,4
87,3
88,2
89,0
90,3
91,1
92,4
93,2
94,4
95,3
96,2
97,2
98,0
99,4
100,2
101,0
102,0
103,2
104,4
105,3
106,1
107,1
108,3
109,3
110,1
111,2
112,0
113,2
114,4
115,3
116,3
117,2
118,0
119,3
120,2
121,3
122,1
123,4
124,0
125,0
126,1
127,2
128,0
129,2
130,0
131,1
132,1
133,3
134,4
135,1
136,3
137,0
138,3
139,3
140,4
141,3
142,1
143,1
144,0
145,1
146,0
147,4
148,1
149,4
150,1
151,3
152,2
153,4
154,3
155,1
156,2
157,3
158,2
159,1
160,3
161,4
162,3
163,0
164,0
165,1
166,4
167,3
168,3
169,0
170,2
171,3
172,3
173,1
174,2
175,3
176,4
177,4
178,2
179,4
180,0
181,3
182,2
183,1
184,3
185,3
186,2
187,2
188,1
189,1
190,4
191,4
192,4
193,2
194,2
195,0
196,2
197,2
198,0
199,3
200,4
201,0
202,3
203,3
204,4
205,0
206,0
207,3
208,3
209,0
210,0
211,1
212,4
213,2
214,4
215,3
216,4
217,0
218,1
219,1
220,4
221,3
222,1
223,3
224,4
225,1
226,0
227,3
228,4
229,4
230,1
231,2
232,3
233,2
234,2
235,3
236,2
237,1
238,1
239,3
240,1
241,3
242,0
243,1
244,4
245,3
246,3
247,4
248,2
249,0
250,4
251,4
252,4
253,3
254,2
255,2
256,3
257,4
258,4
259,2
260,4
261,0
262,1
263,2
264,3
265,4
266,3
267,2
268,1
