experiment_id,dataset,seed,model_summary,optimizer,lr,momentum,weight_decay,epochs_trained,best_val_accuracy,best_val_loss
E1,EMNIST,42,"MLP (256, 128), relu, no BN, no dropout",Adam,0.001,0.0,0.0,20,0.8392287234042554,0.5120681090135101
E1,EMNIST,42,"MLP (256, 128), relu, no BN, no dropout",Adam,0.001,0.0,0.0,20,0.8392287234042554,0.5120681090135101
E2,EMNIST,42,"MLP (256, 128), relu, no BN, dropout=0.4",Adam,0.001,0.0,0.0,20,0.811968085106383,0.5851740698442391
E3,EMNIST,42,"MLP (256, 128), relu, BN, no dropout",Adam,0.001,0.0,0.0,20,0.8493351063829787,0.4632803457003113
E4,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.001,0.0,0.0,32,0.8499113475177305,0.4425244410409995
O1,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.1,0.0,0.0,8,0.7493794326241134,0.7797628778092405
O2,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,1e-05,0.0,0.0,8,0.5744237588652482,2.2441953949894464
O3,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",SGD,0.01,0.9,0.0001,15,0.8355053191489362,0.4893042594828504
E1,EMNIST,42,"MLP (256, 128), relu, no BN, no dropout",Adam,0.001,0.0,0.0,20,0.8392287234042554,0.5120681090135101
E2,EMNIST,42,"MLP (256, 128), relu, no BN, dropout=0.4",Adam,0.001,0.0,0.0,20,0.811968085106383,0.5851740698442391
E3,EMNIST,42,"MLP (256, 128), relu, BN, no dropout",Adam,0.001,0.0,0.0,20,0.8493351063829787,0.4632803457003113
E4,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.001,0.0,0.0,32,0.8499113475177305,0.4425244410409995
O1,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.1,0.0,0.0,8,0.7493794326241134,0.7797628778092405
O2,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,1e-05,0.0,0.0,8,0.5744237588652482,2.2441953949894464
O3,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",SGD,0.01,0.9,0.0001,15,0.8355053191489362,0.4893042594828504
E1,EMNIST,42,"MLP (256, 128), relu, no BN, no dropout",Adam,0.001,0.0,0.0,20,0.8392287234042554,0.5120681090135101
E2,EMNIST,42,"MLP (256, 128), relu, no BN, dropout=0.4",Adam,0.001,0.0,0.0,20,0.811968085106383,0.5851740698442391
E3,EMNIST,42,"MLP (256, 128), relu, BN, no dropout",Adam,0.001,0.0,0.0,20,0.8493351063829787,0.4632803457003113
E4,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.001,0.0,0.0,32,0.8499113475177305,0.4425244410409995
O1,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.1,0.0,0.0,8,0.7493794326241134,0.7797628778092405
O2,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,1e-05,0.0,0.0,8,0.5744237588652482,2.2441953949894464
O3,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",SGD,0.01,0.9,0.0001,15,0.8355053191489362,0.4893042594828504
E1,EMNIST,42,"MLP (256, 128), relu, no BN, no dropout",Adam,0.001,0.0,0.0,20,0.8392287234042554,0.5120681090135101
E2,EMNIST,42,"MLP (256, 128), relu, no BN, dropout=0.4",Adam,0.001,0.0,0.0,20,0.811968085106383,0.5851740698442391
E3,EMNIST,42,"MLP (256, 128), relu, BN, no dropout",Adam,0.001,0.0,0.0,20,0.8493351063829787,0.4632803457003113
E4,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.001,0.0,0.0,32,0.8499113475177305,0.4425244410409995
O1,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,0.1,0.0,0.0,8,0.7493794326241134,0.7797628778092405
O2,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",Adam,1e-05,0.0,0.0,8,0.5744237588652482,2.2441953949894464
O3,EMNIST,42,"MLP (256, 128), relu, BN, dropout=0.4",SGD,0.01,0.9,0.0001,15,0.8355053191489362,0.48930425948285045
